,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
164,XC,Euro area,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,Aggregates,,
165,XC,Euro area,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,Aggregates,,
166,XC,Euro area,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,Aggregates,,
167,XC,Euro area,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,Aggregates,,
168,XC,Euro area,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,Aggregates,,
169,XC,Euro area,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,Aggregates,,
170,XC,Euro area,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,Aggregates,,
171,XC,Euro area,Mobile cellular subscriptions (per 100 people),2024,,Aggregates,Aggregates,Aggregates,,
172,XC,Euro area,Mobile cellular subscriptions (per 100 people),2023,,Aggregates,Aggregates,Aggregates,,
173,XC,Euro area,Mobile cellular subscriptions (per 100 people),2022,123.504922574754,Aggregates,Aggregates,Aggregates,,
174,XC,Euro area,Mobile cellular subscriptions (per 100 people),2021,123.005707748284,Aggregates,Aggregates,Aggregates,,
175,XC,Euro area,Mobile cellular subscriptions (per 100 people),2020,121.425545157311,Aggregates,Aggregates,Aggregates,,
176,XC,Euro area,Mobile cellular subscriptions (per 100 people),2019,122.045744412398,Aggregates,Aggregates,Aggregates,,
177,XC,Euro area,Mobile cellular subscriptions (per 100 people),2018,122.501733240973,Aggregates,Aggregates,Aggregates,,
178,XC,Euro area,Mobile cellular subscriptions (per 100 people),2017,122.790373736647,Aggregates,Aggregates,Aggregates,,
179,XC,Euro area,Mobile cellular subscriptions (per 100 people),2016,121.39529734813,Aggregates,Aggregates,Aggregates,,
180,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2024,90.9,Aggregates,Aggregates,Aggregates,,
181,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2023,89.6,Aggregates,Aggregates,Aggregates,,
182,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2022,87.9,Aggregates,Aggregates,Aggregates,,
183,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2021,86.3,Aggregates,Aggregates,Aggregates,,
